tStep	sim_time	part_diameter	part_height
0	1	9.9419e-08	9.9419e-08
1	2	5.102e-06	5.102e-06
2	3	4.09385e-05	4.09385e-05
3	4	0.000142448	0.000142448
4	5	0.000331789	0.000331789
5	6	0.000620733	0.000620733
6	7	0.00101591	0.00101591
7	8	0.00152139	0.00152139
8	9	0.00213986	0.00213987
9	10	0.00287322	0.00287323
10	11	0.00372282	0.00372283
11	12	0.00468966	0.00468968
12	13	0.00577452	0.00577455
13	14	0.00697798	0.00697802
14	15	0.00830047	0.00830053
15	16	0.00974234	0.00974243
16	17	0.0113038	0.0113039
17	18	0.0129851	0.0129853
18	19	0.0147863	0.0147865
19	20	0.0167075	0.0167078
20	21	0.0187486	0.018749
21	22	0.0209097	0.0209102
22	23	0.0231907	0.0231913
23	24	0.0255915	0.0255922
24	25	0.028112	0.0281129
25	26	0.030752	0.030753
26	27	0.0335113	0.0335126
27	28	0.0363897	0.0363913
28	29	0.039387	0.0393889
29	30	0.042503	0.0425052
30	31	0.0457373	0.0457399
31	32	0.0490896	0.0490927
32	33	0.0525597	0.0525633
33	34	0.0561471	0.0561513
34	35	0.0598515	0.0598564
35	36	0.0636726	0.0636781
36	37	0.0676098	0.0676162
37	38	0.0716628	0.0716702
38	39	0.0758311	0.0758396
39	40	0.0801143	0.0801239
40	41	0.0845118	0.0845227
41	42	0.0890231	0.0890355
42	43	0.0936478	0.0936618
43	44	0.0983851	0.098401
44	45	0.103235	0.103252
45	46	0.108196	0.108216
46	47	0.113268	0.11329
47	48	0.11845	0.118475
48	49	0.123742	0.12377
49	50	0.129143	0.129174
50	51	0.134651	0.134687
51	52	0.140268	0.140307
52	53	0.145991	0.146034
53	54	0.15182	0.151868
54	55	0.157754	0.157807
55	56	0.163792	0.163851
56	57	0.169933	0.169998
57	58	0.176177	0.176249
58	59	0.182523	0.182602
59	60	0.188969	0.189056
60	61	0.195514	0.19561
61	62	0.202158	0.202263
62	63	0.2089	0.209015
63	64	0.215737	0.215864
